X,M,max_omega,K,partial_sum,error_to_M,error_over_sqrtX
65536,14,6,0,39844,39830,155.5859375
65536,14,6,1,-152506,-152520,-595.78125
65536,14,6,2,188358,188344,735.71875
65536,14,6,3,-93746,-93760,-366.25
65536,14,6,4,16846,16832,65.75
65536,14,6,5,-434,-448,-1.75
65536,14,6,6,14,0,0
262144,24,6,0,159360,159336,311.203125
262144,24,6,1,-644284,-644308,-1258.4140625
262144,24,6,2,877760,877736,1714.328125
262144,24,6,3,-513272,-513296,-1002.53125
262144,24,6,4,124408,124384,242.9375
262144,24,6,5,-8744,-8768,-17.125
262144,24,6,6,24,0,0
1048576,257,7,0,637461,637204,622.26953125
1048576,257,7,1,-2701927,-2702184,-2638.8515625
1048576,257,7,2,3992177,3991920,3898.359375
1048576,257,7,3,-2653391,-2653648,-2591.453125
1048576,257,7,4,797697,797440,778.75
1048576,257,7,5,-87935,-88192,-86.125
1048576,257,7,6,1409,1152,1.125
1048576,257,7,7,257,0,0
4194304,228,7,0,2549834,2549606,1244.9248046875
4194304,228,7,1,-11262900,-11263128,-5499.57421875
4194304,228,7,2,17818596,17818368,8700.375
4194304,228,7,3,-13148476,-13148704,-6420.265625
4194304,228,7,4,4674308,4674080,2282.265625
4194304,228,7,5,-705564,-705792,-344.625
4194304,228,7,6,27492,27264,13.3125
4194304,228,7,7,228,0,0
16777216,211,8,0,10199301,10199090,2490.01220703125
16777216,211,8,1,-46726157,-46726368,-11407.8046875
16777216,211,8,2,78400075,78399864,19140.591796875
16777216,211,8,3,-63160989,-63161200,-15420.21484375
16777216,211,8,4,25708979,25708768,6276.5546875
16777216,211,8,5,-4895789,-4896000,-1195.3125
16777216,211,8,6,324819,324608,79.25
16777216,211,8,7,-1325,-1536,-0.375
16777216,211,8,8,211,0,0
